Name,Weights Evolution,Objective Function Values Evolution,Accuracy Evolution
ADAM200-ZFeature1-RealAmplitudes1,"[array([ 0.56964887,  0.96815049, -0.15504132,  0.37132964,  0.48424772,
        0.05496121, -0.18263641,  0.06281969])]",[160.59460739230283],[0.35555555555555557]
ADAM200-ZFeature2-RealAmplitudes1,"[array([0.3293494 , 0.7786419 , 0.5807895 , 0.5852124 , 0.95744296,
       0.59523308, 0.38765539, 0.23028948])]",[161.70309581599358],[0.4222222222222222]
ADAM200-ZFeature4-RealAmplitudes1,"[array([1.04837761, 0.42650059, 0.58175078, 0.55512668, 0.37640666,
       0.42185689, 0.86074244, 0.88105926])]",[166.3925193810692],[0.2222222222222222]
ADAM200-ZFeature1-RealAmplitudes2,"[array([ 0.14787451,  0.63498668,  0.70759269,  0.39991912,  0.24452548,
        0.34149622,  0.57371657, -0.01117137,  0.48008568,  0.94046306,
        0.42343767,  0.67925405])]",[158.40529663352314],[0.35555555555555557]
ADAM200-ZFeature2-RealAmplitudes2,"[array([ 1.06816896,  0.53530668,  0.3072802 ,  1.12489254, -0.11797093,
        0.62808657,  0.70767804,  0.94253358,  0.48320211,  0.77482961,
        0.63068824,  0.31803389])]",[156.98712205357825],[0.4888888888888889]
ADAM200-ZFeature4-RealAmplitudes2,"[array([ 0.70315337,  0.51633574,  0.599393  ,  0.47882713,  0.55071597,
        0.56347768,  0.22206187,  0.18651667,  0.92621449,  0.75609302,
       -0.06318289,  0.43074823])]",[137.94926878895816],[0.6666666666666666]
ADAM200-ZFeature1-RealAmplitudes4,"[array([ 0.53362285,  0.96307346,  0.26243578,  0.95961474, -0.04106002,
        1.0860988 ,  0.72006497,  0.71929915,  0.4392362 ,  0.67665228,
        0.54023113,  0.32514476,  0.55312231,  0.23540092, -0.19016303,
        0.81644354,  0.60615417,  0.3111381 ,  0.63515253,  0.61161262])]",[149.98334601965354],[0.6666666666666666]
ADAM200-ZFeature2-RealAmplitudes4,"[array([ 0.41283806,  0.41328189,  0.77618097,  0.75617485,  0.71474286,
        0.06979658,  1.0964111 ,  1.1658448 ,  0.46450722,  1.04071822,
        0.03182453,  0.07519144,  0.29340222, -0.16762053,  0.68036679,
        0.66434687,  0.49614928,  0.34159936,  0.76572398,  0.21689701])]",[131.1934172976695],[0.6666666666666666]
ADAM200-ZFeature4-RealAmplitudes4,"[array([0.34551876, 0.6120531 , 0.16725431, 0.43285643, 0.42877102,
       0.92242792, 0.81713055, 0.55536592, 0.80694541, 0.22293451,
       1.05812774, 0.34378757, 0.40440291, 0.27397852, 0.80123673,
       0.88650928, 1.03969564, 0.45440082, 0.85956024, 0.33230141])]",[139.81989272765858],[0.6]
ADAM200-PauliFeature1-RealAmplitudes1,"[array([0.47938454, 1.0225579 , 0.46275246, 0.08965163, 0.02246915,
       0.70493251, 0.69289334, 0.63957137])]",[155.08143630463255],[0.4444444444444444]
ADAM200-PauliFeature2-RealAmplitudes1,"[array([ 0.9764084 ,  0.02006684, -0.10867564,  0.25733723,  0.49614757,
        0.7732678 ,  0.23626875,  0.33703009])]",[186.43615960054183],[0.06666666666666667]
ADAM200-PauliFeature4-RealAmplitudes1,"[array([ 0.11329371,  0.75191024,  0.84443117,  0.26935747, -0.02809292,
        0.24662401,  0.49769231,  0.92333336])]",[138.7448086707111],[0.6444444444444445]
ADAM200-PauliFeature1-RealAmplitudes2,"[array([ 0.34226501,  0.59420648,  0.79213213,  0.39869006, -0.04213256,
        0.52047791,  0.53794033,  0.52808453,  1.08045439,  0.65376674,
        0.71274018,  0.33768763])]",[129.26134587846764],[0.5555555555555556]
ADAM200-PauliFeature2-RealAmplitudes2,"[array([ 0.45188814, -0.12137128,  0.27022157,  0.06959641,  0.0150158 ,
        0.60834187,  0.26537508,  0.40025911,  0.63014952,  0.70039231,
        0.28373941, -0.04796155])]",[135.92624992165656],[0.8444444444444444]
ADAM200-PauliFeature4-RealAmplitudes2,"[array([0.28229397, 0.60905631, 0.2802854 , 0.46654111, 0.135589  ,
       0.67899327, 0.90388313, 0.76587176, 0.00930469, 0.05153573,
       0.77391533, 0.36037061])]",[144.14634631063765],[0.4222222222222222]
ADAM200-PauliFeature1-RealAmplitudes4,"[array([ 0.35595905,  0.67289886,  0.855637  ,  1.08418406,  0.33854533,
        0.47365223,  0.28887463,  0.05792999,  0.66263433,  0.79392468,
        0.99982517,  1.10940185,  0.49248215,  0.67315389,  0.18763118,
        0.36490412,  0.58385915,  0.61962375, -0.00554817,  1.08363462])]",[123.95850119711073],[0.5555555555555556]
ADAM200-PauliFeature2-RealAmplitudes4,"[array([ 0.15514952,  0.95370852,  0.77719653,  0.45309247,  0.20327638,
        0.3627569 ,  0.90806165,  0.96111625,  0.0132241 ,  0.34552146,
       -0.09713404,  1.02397854,  0.22431067,  0.83637356,  0.71233449,
        0.27210059,  0.16219917,  1.09530909,  0.57345768,  0.53853484])]",[154.40097483585095],[0.6222222222222222]
ADAM200-PauliFeature4-RealAmplitudes4,"[array([ 0.39038108,  0.60489837,  0.62415741,  0.73078358, -0.00119068,
        0.03561566,  0.84704131,  0.5886312 ,  0.29440322,  0.97250935,
        0.09992949,  0.85292987,  0.77009933,  0.37762668,  0.3026664 ,
        0.71112196,  0.81916022,  0.72507022,  0.87042805,  0.42351448])]",[130.49222827964476],[0.6888888888888889]
